Time,C1,Trigs,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,TimeB,C1B,TrigsB,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C10B,C11B,C12B,C13B
41.8,314335,768,-137180,-827357,-2453226,-7818817,-1303415,-7649741,470332,-667895,30682,151634,293627,41.71,100853,770,-285705,-1012219,-2696054,-8073134,-1547344,-7911424,420526,-866225,-198053,45365,275973
41.8,522317,768,-8637,-647633,-2198796,-7540423,-1051903,-7349196,507049,-467690,244432,232531,303334,41.72,318739,770,-141093,-821824,-2459600,-7823117,-1304506,-7647373,470640,-657326,25580,150406,293374
41.8,542629,768,-3097,-632374,-2151611,-7482098,-1010885,-7280702,501409,-450390,265121,224044,299230,41.72,522948,770,-12098,-642920,-2203780,-7544273,-1051666,-7346233,507189,-456539,240442,229884,303182
41.8,565704,768,11250,-607072,-2103621,-7424580,-968914,-7215104,503073,-422166,290021,227157,299050,41.72,537678,770,-6542,-627779,-2155576,-7485672,-1012003,-7275917,501918,-436919,261994,221449,298409
41.8,585597,768,24980,-584083,-2056960,-7367868,-927422,-7150576,504156,-396050,315043,228373,298195,41.72,562570,770,9848,-606818,-2111043,-7428739,-969392,-7210739,503042,-411252,286577,224171,298021
41.81,383484,768,-109506,-758749,-2278539,-7598522,-1151237,-7394082,456702,-588884,106390,128829,281726,41.72,579130,770,23433,-585646,-2068488,-7372515,-928039,-7146989,504061,-389008,309416,228301,297320
41.81,186920,768,-232816,-929626,-2524471,-7864983,-1394142,-7681443,422137,-781228,-98681,51888,272611,41.73,377156,770,-112553,-763216,-2288777,-7603850,-1154456,-7390218,456056,-584671,101103,128590,280736
41.81,161972,768,-245608,-953132,-2582505,-7936890,-1447314,-7761864,424188,-811047,-130023,55507,275765,41.73,179079,770,-233350,-933068,-2533470,-7868802,-1394373,-7676690,421698,-778313,-105034,53009,271586
41.81,125148,768,-264511,-987096,-2643777,-8010261,-1503649,-7844395,420465,-844720,-167991,47220,275302,41.73,149493,770,-245280,-956468,-2589918,-7938080,-1447528,-7756944,424771,-806909,-135063,55255,274706
41.81,96732,768,-280229,-1012235,-2694102,-8070172,-1547200,-7916711,420347,-871900,-194852,45373,276134,41.73,113191,770,-268052,-987310,-2649080,-8010567,-1502415,-7836503,421417,-845119,-171080,46981,274569
